Date,Adj Close,Close,High,Low,Open,Volume
3/28/2023,183.4400024,183.4400024,183.6199951,182.1199951,182.3099976,6202600
3/29/2023,182.5299988,182.5299988,183.2700043,182.2400055,182.4900055,4996500
3/30/2023,184.1799927,184.1799927,184.4400024,182.5500031,182.75,6360300
3/31/2023,183.2200012,183.2200012,184.4199982,182.8000031,184.1100006,8003300
4/3/2023,184.5399933,184.5399933,185.0399933,183.3200073,183.8500061,9206600
4/4/2023,187.9799957,187.9799957,188.2299957,184.6600037,184.7200012,13765400
4/5/2023,187.8300018,187.8300018,188.8600006,186.7799988,188.3399963,11440800
4/6/2023,186.4900055,186.4900055,187.2599945,185.9499969,186.8899994,6648400
4/10/2023,185.1100006,185.1100006,185.3600006,184.1900024,185.1799927,6408100
4/11/2023,186.2799988,186.2799988,186.5099945,185.6399994,185.9100037,6031500
4/12/2023,187.1900024,187.1900024,187.6600037,185.9700012,187.5399933,10000900
4/13/2023,189.7200012,189.7200012,190.4100037,188.9900055,189.7599945,14060100
4/14/2023,186.3600006,186.3600006,188.4900055,185.1699982,188.0800018,13272500
4/17/2023,185.5299988,185.5299988,185.9299927,184.1000061,185.8899994,7468100
4/18/2023,186.25,186.25,186.9900055,185.0399933,185.2400055,8056900
4/19/2023,185.3600006,185.3600006,185.5800018,184.2799988,184.3500061,7373500
4/20/2023,186.0899963,186.0899963,187.0299988,185.7799988,186.1399994,5789900
4/21/2023,184.25,184.25,185.6799927,183.2200012,184.9799957,10698700
4/24/2023,184.8099976,184.8099976,185.0299988,183.4600067,184.0700073,8303400
4/25/2023,185.75,185.75,186.2200012,184.3000031,184.8399963,8451900
4/26/2023,184.7400055,184.7400055,186.6499939,184.3000031,186.6300049,8203600
4/27/2023,184.75,184.75,184.9900055,183.3800049,183.8999939,9107400
4/28/2023,184.8000031,184.8000031,185.3800049,184.1699982,184.7899933,6700400
5/1/2023,183.9700012,183.9700012,186.2200012,183.9100037,186.0500031,7997700
5/2/2023,187.5200043,187.5200043,187.6399994,184.5200043,184.6499939,14680600
5/3/2023,189.1100006,189.1100006,189.2100067,186.9299927,187.6100006,11133800
5/4/2023,190.4400024,190.4400024,191.3600006,188.8099976,188.8600006,14146800
5/5/2023,187.4600067,187.4600067,187.5800018,185.7700043,186.5599976,12507000
5/8/2023,187.6900024,187.6900024,188.6699982,187.4900055,187.8200073,6075400
5/9/2023,189.0200043,189.0200043,189.3300018,188.0700073,188.1199951,7098800
5/10/2023,188.75,188.75,189.6399994,187.8200073,188.9799957,9392100
